Tipo,Data Com,Pagamento,Valor
JCP,11/09/2023,29/09/2023,"0,33419721"
DIVIDENDO,21/08/2023,30/08/2023,"0,14372165"
JCP,21/08/2023,30/08/2023,"0,65465514"
REND. TRIBUTADO,21/08/2023,30/08/2023,"0,00312359"
REND. TRIBUTADO,21/08/2023,30/08/2023,"0,01422800"
JCP,12/06/2023,30/06/2023,"0,33863134"
JCP,01/06/2023,12/06/2023,"0,65441992"
DIVIDENDO,01/06/2023,12/06/2023,"0,12300792"
JCP,13/03/2023,31/03/2023,"0,35203697"
DIVIDENDO,23/02/2023,03/03/2023,"0,23549139"
JCP,23/02/2023,03/03/2023,"0,57353181"
REND. TRIBUTADO,23/02/2023,03/03/2023,"0,00519809"
